alpha               	lift__N             	drag__N             	liftLin__N          	dragLin__N          	
-4.736069e-02       	-4.556203e-07       	-3.151451e-06       	-4.608110e-07       	-2.757111e-06       	
-1.578690e-02       	-1.533832e-07       	-2.801819e-06       	-1.536037e-07       	-2.757111e-06       	
1.578690e-02        	1.533832e-07        	-2.801819e-06       	1.536037e-07        	-2.757111e-06       	
4.736069e-02        	4.556203e-07        	-3.151451e-06       	4.608110e-07        	-2.757111e-06       	
7.893449e-02        	7.400282e-07        	-3.810617e-06       	7.680183e-07        	-2.757111e-06       	
1.105083e-01        	1.007680e-06        	-4.713382e-06       	1.075226e-06        	-2.757111e-06       	
1.420821e-01        	1.254773e-06        	-5.786301e-06       	1.382433e-06        	-2.757111e-06       	
1.736559e-01        	1.483899e-06        	-6.965516e-06       	1.689640e-06        	-2.757111e-06       	
2.052297e-01        	1.698535e-06        	-8.204532e-06       	1.996848e-06        	-2.757111e-06       	
2.368035e-01        	1.901734e-06        	-9.474196e-06       	2.304055e-06        	-2.757111e-06       	
2.683773e-01        	2.095412e-06        	-1.075828e-05       	2.611262e-06        	-2.757111e-06       	
2.999511e-01        	2.280365e-06        	-1.204839e-05       	2.918469e-06        	-2.757111e-06       	
3.315249e-01        	2.456616e-06        	-1.334011e-05       	3.225677e-06        	-2.757111e-06       	
3.630986e-01        	2.623777e-06        	-1.463076e-05       	3.532884e-06        	-2.757111e-06       	
3.946724e-01        	2.781294e-06        	-1.591831e-05       	3.840091e-06        	-2.757111e-06       	
4.262462e-01        	2.928567e-06        	-1.720092e-05       	4.147299e-06        	-2.757111e-06       	
4.578200e-01        	3.065008e-06        	-1.847681e-05       	4.454506e-06        	-2.757111e-06       	
4.893938e-01        	3.190064e-06        	-1.974418e-05       	4.761713e-06        	-2.757111e-06       	
5.209676e-01        	3.303224e-06        	-2.100123e-05       	5.068921e-06        	-2.757111e-06       	
5.525414e-01        	3.404023e-06        	-2.224615e-05       	5.376128e-06        	-2.757111e-06       	
5.841152e-01        	3.492045e-06        	-2.347712e-05       	5.683335e-06        	-2.757111e-06       	
6.156890e-01        	3.566921e-06        	-2.469229e-05       	5.990543e-06        	-2.757111e-06       	
6.472628e-01        	3.628338e-06        	-2.588986e-05       	6.297750e-06        	-2.757111e-06       	
6.788366e-01        	3.676034e-06        	-2.706798e-05       	6.604957e-06        	-2.757111e-06       	
7.104104e-01        	3.709799e-06        	-2.822485e-05       	6.912165e-06        	-2.757111e-06       	
7.419842e-01        	3.729481e-06        	-2.935865e-05       	7.219372e-06        	-2.757111e-06       	
7.735580e-01        	3.734982e-06        	-3.046760e-05       	7.526579e-06        	-2.757111e-06       	
8.051318e-01        	3.726259e-06        	-3.154993e-05       	7.833787e-06        	-2.757111e-06       	
8.367056e-01        	3.703326e-06        	-3.260390e-05       	8.140994e-06        	-2.757111e-06       	
8.682794e-01        	3.666254e-06        	-3.362779e-05       	8.448201e-06        	-2.757111e-06       	
8.998532e-01        	3.615168e-06        	-3.461994e-05       	8.755408e-06        	-2.757111e-06       	
9.314270e-01        	3.550250e-06        	-3.557869e-05       	9.062616e-06        	-2.757111e-06       	
9.630008e-01        	3.471733e-06        	-3.650245e-05       	9.369823e-06        	-2.757111e-06       	
9.945746e-01        	3.379909e-06        	-3.738968e-05       	9.677030e-06        	-2.757111e-06       	
1.026148e+00        	3.275117e-06        	-3.823887e-05       	9.984238e-06        	-2.757111e-06       	
1.057722e+00        	3.157752e-06        	-3.904858e-05       	1.029145e-05        	-2.757111e-06       	
1.089296e+00        	3.028256e-06        	-3.981743e-05       	1.059865e-05        	-2.757111e-06       	
1.120870e+00        	2.887119e-06        	-4.054409e-05       	1.090586e-05        	-2.757111e-06       	
1.152444e+00        	2.734877e-06        	-4.122731e-05       	1.121307e-05        	-2.757111e-06       	
1.184017e+00        	2.572112e-06        	-4.186590e-05       	1.152027e-05        	-2.757111e-06       	
1.215591e+00        	2.399443e-06        	-4.245874e-05       	1.182748e-05        	-2.757111e-06       	
1.247165e+00        	2.217533e-06        	-4.300480e-05       	1.213469e-05        	-2.757111e-06       	
1.278739e+00        	2.027080e-06        	-4.350312e-05       	1.244190e-05        	-2.757111e-06       	
1.310313e+00        	1.828813e-06        	-4.395281e-05       	1.274910e-05        	-2.757111e-06       	
1.341886e+00        	1.623496e-06        	-4.435308e-05       	1.305631e-05        	-2.757111e-06       	
1.373460e+00        	1.411918e-06        	-4.470321e-05       	1.336352e-05        	-2.757111e-06       	
1.405034e+00        	1.194894e-06        	-4.500260e-05       	1.367073e-05        	-2.757111e-06       	
1.436608e+00        	9.732602e-07        	-4.525069e-05       	1.397793e-05        	-2.757111e-06       	
1.468181e+00        	7.478712e-07        	-4.544706e-05       	1.428514e-05        	-2.757111e-06       	
1.499755e+00        	5.195962e-07        	-4.559133e-05       	1.459235e-05        	-2.757111e-06       	
1.531329e+00        	2.893159e-07        	-4.568327e-05       	1.489955e-05        	-2.757111e-06       	
1.562903e+00        	5.791907e-08        	-4.572270e-05       	1.520676e-05        	-2.757111e-06       	
1.594477e+00        	-1.737013e-07       	-4.570956e-05       	1.551397e-05        	-2.757111e-06       	
1.626050e+00        	-4.046513e-07       	-4.564386e-05       	1.582118e-05        	-2.757111e-06       	
1.657624e+00        	-6.340396e-07       	-4.552572e-05       	1.612838e-05        	-2.757111e-06       	
1.689198e+00        	-8.609811e-07       	-4.535536e-05       	1.643559e-05        	-2.757111e-06       	
1.720772e+00        	-1.084600e-06       	-4.513309e-05       	1.674280e-05        	-2.757111e-06       	
1.752346e+00        	-1.304035e-06       	-4.485929e-05       	1.705001e-05        	-2.757111e-06       	
1.783919e+00        	-1.518439e-06       	-4.453445e-05       	1.735721e-05        	-2.757111e-06       	
1.815493e+00        	-1.726987e-06       	-4.415917e-05       	1.766442e-05        	-2.757111e-06       	
1.847067e+00        	-1.928876e-06       	-4.373409e-05       	1.797163e-05        	-2.757111e-06       	
